rule,type,coef,support,importance,category
slope_all_M12_SME_BZN_SAA_PCE_RT <= -0.11478,general,0.3504395848124814,0.0027033115566569045,0.018195893913173042,
mean_all_M12_FME_60_RAT <= -5.66533,general,5.8616431394050945,0.004730795224149583,0.40221358299054594,
mean_all_MCT_UE_CLN_NEW_RAT <= -6.26167,general,17.99549735086311,0.002928587519711647,0.9724249425474039,
mean_all_M12_SME_RY_SAA_PCE_RT > 2.38279,general,3.840543434038185,0.004730795224149583,0.2635299861315149,
mean_all_M1_SME_RY_SAA_RAT <= -0.80186,general,-0.14116031568093612,0.009011038522189683,0.013339343388658295,
mean_all_RC_M1_SHC_RSD_UE_CLN_RAT <= -3.16459,general,-9.81185433261183,0.0063077269655327775,0.776807645890862,
slope_all_M12_SME_BZN_SAA_PCE_RT <= -0.11584,general,1.4185282526196732,0.0027033115566569045,0.07365432079060891,
mean_all_M12_MAL_30_RAT <= -5.66535,general,7.51049475193478,0.004730795224149583,0.5153543012367632,
slope_all_M12_FME_40_RAT > 0.38994,general,1.4993388322347814,0.0031538634827663887,0.08406888733722717,
mean_all_M12_SME_RY_SAA_PCE_RT > 2.33623,general,-3.0171630767718036,0.006082451002478036,0.23459204073400533,
slope_all_M12_SME_BZN_SAA_PCE_RT <= -0.08281,general,0.725232749731594,0.007884658706915973,0.0641430991922742,
slope_all_RC_M1_SHC_FLP_UE_CLN_RAT > 0.15587,general,0.00033391422877178156,0.006758278891642262,2.735775509015136e-05,
slope_all_RC_M1_UE_CUS_CN <= -0.10786,general,-6.383194191806621,0.006983554854697004,0.5315627648827824,
mean_all_M12_FME_1020_RAT <= -4.69703,general,-16.738533763527666,0.005406623113313809,1.2274483952662818,
slope_all_M1_SME_RY_CNT_RAT <= -0.0713,general,0.7131932444318827,0.00991214237440865,0.07065255205163112,
slope_all_RC_M1_TO_UE_CT <= -0.09917,general,-0.5350659449689646,0.01306600585717504,0.06076070284795964,
mean_all_M12_FME_30_RAT > 0.15416,general,1.7119035598496266,0.0063077269655327775,0.1355319523954845,
mean_all_RC_M1_UE_CUS_CN > 1.79803,general,-3.7934673883254217,0.004956071187204325,0.26639511080400885,
slope_all_M12_SME_BZN_SAA_PCE_RT <= -0.07594,general,-1.7534423824110716,0.010362694300518135,0.1775684779561665,
mean_all_M12_FME_30_RAT > 0.15417,general,-1.494502401052384,0.004280243298040099,0.09756620376958897,
slope_zcd_RC_M1_SHC_WP_UE_CLN_RAT > 0.00033,ZCD,-6.24334731962558,0.33544303797468356,2.9477659159323912,베이커리
mean_zcd_M1_SME_RY_CNT_RAT > -0.70828,ZCD,-1.6138044651713295,0.8354430379746836,0.598366767519264,베이커리
slope_zcd_RC_M1_SAA <= 0.05451,ZCD,-0.4997910145850886,0.8987341772151899,0.15077714671576528,베이커리
mean_zcd_RC_M1_SAA <= 1.10737,ZCD,-1.559247684717113,0.8924050632911392,0.4831611851874744,베이커리
slope_zcd_RC_M1_TO_UE_CT <= -0.00302,ZCD,-13.743323096041625,0.5569620253164557,6.826923332944872,베이커리
mean_zcd_RC_M1_AV_NP_AT <= 0.47715,ZCD,0.9352094113723152,0.7088607594936709,0.424853997436289,베이커리
slope_zcd_MCT_UE_CLN_NEW_RAT > -0.00098,ZCD,-4.876917691565069,0.8037974683544303,1.9367387700643315,베이커리
mean_zcd_M1_SME_RY_CNT_RAT > -0.70017,ZCD,-1.453770779959524,0.8164556962025317,0.5627722865400675,베이커리
mean_zcd_MCT_UE_CLN_NEW_RAT <= 0.05585,ZCD,-0.8086638410438103,0.6645569620253164,0.3818066793405415,베이커리
slope_zcd_M1_SME_RY_CNT_RAT > -0.06449,ZCD,-1.5822015275493868,0.9493670886075949,0.34689283968716805,베이커리
mean_zcd_MCT_UE_CLN_NEW_RAT <= 0.32509,ZCD,0.48707512747458065,0.9177215189873418,0.13384265504814624,베이커리
mean_zcd_MCT_UE_CLN_NEW_RAT <= 0.05663,ZCD,-1.3488891510100736,0.6708860759493671,0.6338314421173147,베이커리
mean_zcd_M12_SME_RY_SAA_PCE_RT <= 1.13684,ZCD,-0.5532348586302068,0.879746835443038,0.17994370170010432,베이커리
slope_zcd_MCT_UE_CLN_NEW_RAT > -0.00066,ZCD,-2.821204955277496,0.7974683544303798,1.133803550765674,베이커리
mean_zcd_M1_SME_RY_SAA_RAT > -0.72171,ZCD,-0.09909980921663669,0.8291139240506329,0.03730209822504389,베이커리
slope_zcd_M1_SME_RY_CNT_RAT > -0.06538,ZCD,-0.09655444777745067,0.9493670886075949,0.02116926699332918,베이커리
mean_zcd_M12_FME_40_RAT <= 0.17802,ZCD,-0.22968370337418248,0.9240506329113924,0.060847136650797294,베이커리
slope_zcd_RC_M1_SAA <= 0.05609,ZCD,-0.6125334392760413,0.9050632911392406,0.17955039458795916,베이커리
slope_zcd_MCT_UE_CLN_NEW_RAT > -0.00054,ZCD,-3.585781302614747,0.7974683544303798,1.4410762910253967,베이커리
